班级,姓名,选科,语文,数学,英语,科目
1,吴刚,地理,93,95,82,69
1,卢楠,物理,108,77,90,94
1,唐秀兰,历史,88,72,95,85
1,张刚,化学,85,88,102,76
1,姜洋,历史,104,99,84,86
1,李彬,政治,101,106,94,91
1,龙晨,地理,90,104,75,82
1,张秀云,物理,100,98,90,90
1,刘婷婷,地理,137,71,77,75
1,袁云,历史,116,76,87,90
1,王丽丽,政治,102,64,76,93
1,赵桂芝,历史,96,57,84,83
1,陈柳,化学,117,58,86,83
1,邓云,生物,131,77,88,86
1,周峰,政治,92,87,89,98
1,葛丽,物理,118,65,108,67
1,陈秀荣,生物,117,66,94,110
1,吴欣,历史,101,99,74,79
1,徐丹丹,生物,110,56,78,105
1,赖玉兰,化学,105,85,82,87
1,陈云,化学,126,67,88,92
1,王莹,物理,107,87,100,106
1,任兰英,地理,88,93,97,63
1,李龙,历史,108,72,86,71
1,崔秀芳,地理,92,97,78,73
1,王秀英,化学,123,96,80,87
1,秦凯,化学,120,81,89,73
1,刘玉,生物,105,93,74,100
1,任丹,化学,97,78,84,94
1,孙玲,生物,101,74,97,96
1,文云,生物,122,82,70,107
1,吴娜,生物,110,95,99,102
1,王丹,物理,111,73,84,106
1,张帆,化学,110,83,80,67
1,吴宇,历史,102,65,84,84
1,王柳,生物,116,106,81,103
1,尹建平,化学,93,101,89,94
1,杜明,政治,119,86,79,91
1,何凤英,生物,118,75,78,102
1,秦利,地理,100,78,88,83
1,王婷,化学,116,68,91,82
1,郭莹,化学,113,76,88,75
1,周磊,化学,116,57,91,79
1,唐飞,地理,102,70,92,103
1,沈鹏,地理,120,65,84,75
1,陈建国,物理,103,111,93,80
1,任峰,生物,113,54,70,92
1,张玉英,化学,132,50,82,101
1,秦旭,地理,97,74,90,94
1,范建国,物理,99,101,89,79
1,武琳,物理,79,93,83,81
1,曾娜,地理,132,80,83,90
1,李莹,物理,101,86,82,90
1,赵想,地理,114,84,84,92
1,张彬,政治,99,91,102,96
1,郭秀荣,生物,91,80,77,90
1,程璐,政治,97,77,79,103
1,赵瑜,化学,82,105,81,77
1,翁秀华,历史,118,92,87,78
