班级,姓名,选科,语文,数学,英语,科目
1,吴刚,地理,100,77,107,74
1,卢楠,物理,95,95,108,106
1,唐秀兰,历史,96,98,119,98
1,张刚,化学,121,78,108,99
1,姜洋,历史,98,87,114,100
1,李彬,政治,103,84,100,106
1,龙晨,地理,99,57,109,90
1,张秀云,物理,100,84,99,122
1,刘婷婷,地理,110,85,111,74
1,袁云,历史,112,108,105,88
1,王丽丽,政治,106,95,109,109
1,赵桂芝,历史,94,71,98,57
1,陈柳,化学,114,73,108,97
1,邓云,生物,98,99,108,107
1,周峰,政治,108,87,119,110
1,葛丽,物理,103,69,114,112
1,陈秀荣,生物,114,93,113,64
1,吴欣,历史,103,94,117,103
1,徐丹丹,生物,105,87,104,106
1,赖玉兰,化学,99,110,119,106
1,陈云,化学,88,68,111,86
1,王莹,物理,100,82,103,119
1,任兰英,地理,98,69,115,99
1,李龙,历史,106,86,101,111
1,崔秀芳,地理,108,88,115,85
1,王秀英,化学,102,71,107,98
1,秦凯,化学,105,98,108,95
1,刘玉,生物,106,98,117,86
1,任丹,化学,95,86,131,102
1,孙玲,生物,93,87,95,116
1,文云,生物,103,73,104,99
1,吴娜,生物,110,84,107,104
1,王丹,物理,98,93,100,84
1,张帆,化学,112,83,117,91
1,吴宇,历史,105,126,114,98
1,王柳,生物,100,93,131,92
1,尹建平,化学,100,75,114,98
1,杜明,政治,119,80,108,101
1,何凤英,生物,94,77,98,88
1,秦利,地理,99,109,104,63
1,王婷,化学,101,89,94,93
1,郭莹,化学,95,95,109,113
1,周磊,化学,96,83,96,98
1,唐飞,地理,102,104,113,80
1,沈鹏,地理,99,76,96,77
1,陈建国,物理,93,74,115,104
1,任峰,生物,107,78,109,98
1,张玉英,化学,105,97,107,107
1,秦旭,地理,98,111,97,86
1,范建国,物理,109,92,121,109
1,武琳,物理,105,90,113,104
1,曾娜,地理,92,75,115,61
1,李莹,物理,107,84,104,97
1,赵想,地理,90,75,107,75
1,张彬,政治,102,81,105,118
1,郭秀荣,生物,82,75,109,102
1,程璐,政治,101,87,121,120
