班级,姓名,选科,语文,数学,英语,科目
1,吴刚,地理,111,102,103,106
1,卢楠,物理,113,102,103,91
1,唐秀兰,历史,105,104,95,94
1,张刚,化学,106,87,89,121
1,姜洋,历史,108,94,94,93
1,李彬,政治,107,107,116,88
1,龙晨,地理,91,99,77,98
1,张秀云,物理,102,101,101,101
1,刘婷婷,地理,103,90,96,105
1,袁云,历史,120,83,99,87
1,王丽丽,政治,110,111,98,78
1,赵桂芝,历史,108,87,113,86
1,陈柳,化学,107,118,121,104
1,邓云,生物,116,110,81,68
1,周峰,政治,121,87,98,83
1,葛丽,物理,97,111,111,98
1,陈秀荣,生物,102,99,89,70
1,吴欣,历史,94,100,102,75
1,徐丹丹,生物,110,98,113,87
1,赖玉兰,化学,101,111,121,101
1,陈云,化学,117,103,105,110
1,王莹,物理,114,102,96,95
1,任兰英,地理,111,93,108,116
1,李龙,历史,116,92,97,67
1,崔秀芳,地理,110,94,100,122
1,王秀英,化学,111,95,91,99
1,秦凯,化学,112,93,102,119
1,刘玉,生物,114,100,97,92
1,任丹,化学,96,101,107,108
1,孙玲,生物,120,100,98,79
1,文云,生物,109,103,81,83
1,吴娜,生物,103,100,97,66
1,王丹,物理,110,98,108,86
1,张帆,化学,101,96,106,99
1,吴宇,历史,105,87,107,95
1,王柳,生物,116,102,100,80
1,尹建平,化学,105,100,89,99
1,杜明,政治,107,105,97,93
1,何凤英,生物,100,94,106,89
1,秦利,地理,118,100,89,115
1,王婷,化学,118,83,94,96
1,郭莹,化学,123,109,118,106
1,周磊,化学,127,109,77,118
1,唐飞,地理,111,105,90,97
1,沈鹏,地理,100,107,117,118
1,陈建国,物理,107,76,109,60
1,任峰,生物,110,105,98,80
1,张玉英,化学,102,90,102,105
1,秦旭,地理,109,103,98,124
1,范建国,物理,102,88,100,84
1,武琳,物理,108,116,78,105
1,曾娜,地理,108,99,101,102
1,李莹,物理,103,102,116,75
1,赵想,地理,116,96,89,106
1,张彬,政治,104,97,99,93
1,郭秀荣,生物,96,104,95,64
1,程璐,政治,118,92,104,79
1,赵瑜,化学,131,108,101,107
1,翁秀华,历史,103,106,94,105
1,孙秀云,生物,115,106,86,88
1,黄荣,化学,102,107,111,95
1,余峰,历史,124,91,106,103
1,康小红,历史,115,98,88,84
1,刘桂荣,政治,124,88,95,78
1,鹿建军,政治,105,102,80,91
1,江艳,生物,98,98,83,77
