班级,姓名,选科,语文,数学,英语,科目
1,吴刚,地理,101,112,109,92
1,卢楠,物理,106,133,96,99
1,唐秀兰,历史,90,109,108,79
1,张刚,化学,136,113,92,73
1,姜洋,历史,107,114,75,75
1,李彬,政治,117,80,101,105
1,龙晨,地理,111,112,107,115
1,张秀云,物理,116,112,112,91
1,刘婷婷,地理,110,111,103,108
1,袁云,历史,109,65,92,81
1,王丽丽,政治,118,70,98,130
1,赵桂芝,历史,116,106,118,100
1,陈柳,化学,123,108,102,89
1,邓云,生物,122,80,101,95
1,周峰,政治,116,109,108,116
1,葛丽,物理,103,102,89,117
1,陈秀荣,生物,96,92,92,84
1,吴欣,历史,135,113,91,104
1,徐丹丹,生物,118,119,84,64
1,赖玉兰,化学,115,93,110,101
1,陈云,化学,119,90,100,87
1,王莹,物理,98,84,107,115
1,任兰英,地理,122,117,103,111
1,李龙,历史,92,112,90,104
1,崔秀芳,地理,125,75,89,108
1,王秀英,化学,132,94,100,91
1,秦凯,化学,113,106,100,102
1,刘玉,生物,92,93,96,92
1,任丹,化学,102,90,104,69
1,孙玲,生物,114,87,98,80
1,文云,生物,114,118,111,52
1,吴娜,生物,132,101,95,103
1,王丹,物理,114,89,95,99
1,张帆,化学,117,122,106,81
1,吴宇,历史,78,111,103,97
1,王柳,生物,120,92,89,90
1,尹建平,化学,130,109,104,65
1,杜明,政治,111,101,101,123
1,何凤英,生物,116,113,123,112
1,秦利,地理,131,61,114,91
1,王婷,化学,99,97,108,91
1,郭莹,化学,111,82,103,89
1,周磊,化学,113,98,125,78
1,唐飞,地理,119,99,98,97
1,沈鹏,地理,104,101,103,91
1,陈建国,物理,94,90,99,125
1,任峰,生物,132,111,109,89
1,张玉英,化学,107,106,101,94
1,秦旭,地理,114,107,102,108
1,范建国,物理,105,90,113,90
1,武琳,物理,99,95,112,113
1,曾娜,地理,112,110,101,103
1,李莹,物理,92,129,107,104
1,赵想,地理,85,89,110,114
1,张彬,政治,116,74,94,84
1,郭秀荣,生物,106,105,103,95
1,程璐,政治,97,91,101,102
1,赵瑜,化学,122,69,98,85
1,翁秀华,历史,108,98,117,103
1,孙秀云,生物,96,82,105,96
1,黄荣,化学,110,85,112,73
1,余峰,历史,113,111,99,96
1,康小红,历史,105,91,112,90
1,刘桂荣,政治,119,140,104,79
1,鹿建军,政治,120,108,116,95
1,江艳,生物,113,86,115,94
1,刘丽,地理,76,82,99,103
1,刘莉,生物,123,104,86,84
1,邱浩,历史,99,114,115,102
1,齐鹏,地理,108,105,110,100
1,许欢,化学,95,75,104,90
1,王雷,地理,73,113,101,106
1,朱倩,化学,121,105,89,88
1,赵桂花,化学,114,110,93,76
1,刘波,化学,122,105,116,83
1,李建国,物理,112,57,94,109
1,王娟,物理,114,102,133,100
1,范明,政治,103,85,86,122
1,戴磊,历史,114,80,115,76
1,欧阳艳,物理,94,116,99,103
1,张欢,物理,107,86,99,109
1,李欢,化学,110,140,106,75
1,周颖,生物,90,119,121,87
2,戴宇,政治,102,117,98,86
2,张丽娟,生物,81,79,122,72
2,符伟,化学,95,118,110,95
2,李飞,地理,109,111,80,103
2,蒋杰,政治,124,150,102,104
2,覃玉兰,历史,89,95,121,95
2,徐佳,化学,111,98,104,78
2,庄辉,地理,120,94,100,98
2,杨柳,化学,106,96,119,87
2,李晶,物理,109,87,106,109
2,梁志强,生物,84,117,109,84
2,向华,化学,107,97,108,74
2,葛飞,化学,123,103,116,82
2,张波,生物,128,92,107,99
2,尹金凤,地理,130,98,109,118
2,邓成,政治,87,90,91,120
2,韩婷婷,化学,109,100,94,100
2,喻刚,地理,113,93,98,118
2,李建平,化学,110,115,92,69
2,王波,历史,123,68,105,95
2,张建平,历史,123,112,111,109
2,林淑珍,化学,87,103,102,87
2,沈雷,化学,113,99,98,83
2,王淑珍,地理,112,85,93,99
2,邝建军,化学,107,98,117,79
2,张梅,化学,111,81,94,100
2,屈桂英,物理,126,113,92,98
2,张勇,物理,122,94,105,102
2,马建,化学,103,104,114,92
2,杨建国,物理,93,105,98,104
2,王静,地理,81,89,86,106
2,魏桂香,化学,106,66,95,90
2,郑雷,历史,103,106,113,92
2,蔡秀芳,历史,90,128,109,107
2,邓琳,地理,96,118,123,103
2,王淑英,化学,87,100,110,75
2,周凤兰,生物,89,116,92,88
2,戴玉梅,历史,98,107,134,92
2,陈颖,化学,106,102,103,70
2,李玉兰,生物,109,122,111,112
2,王桂珍,物理,113,115,92,103
2,吴秀兰,化学,127,112,91,104
2,冯小红,历史,94,98,117,111
2,王金凤,地理,113,113,112,99
2,项超,化学,126,88,99,86
2,李楠,历史,110,121,114,71
2,燕丽娟,历史,94,89,115,97
2,苏丽丽,化学,116,101,116,84
2,王欣,生物,110,121,114,79
2,张杰,化学,109,113,127,95
2,郎佳,地理,101,93,122,101
2,王亮,历史,101,99,95,81
2,高建,生物,130,77,112,94
2,方丽,化学,102,93,101,78
2,黄静,生物,108,104,110,82
2,罗秀荣,物理,100,105,127,109
2,李秀珍,化学,94,100,103,73
2,徐颖,化学,108,83,78,84
2,方建军,地理,102,106,123,107
2,杜文,地理,104,67,108,97
2,谷静,生物,110,93,94,76
2,叶晶,政治,113,91,82,112
2,何瑞,政治,107,114,97,93
2,段柳,政治,108,92,129,111
2,黄雪,物理,104,93,103,102
2,刘云,地理,133,83,95,127
2,马桂兰,化学,110,132,97,78
2,陈娟,地理,77,94,116,126
2,文桂珍,政治,99,80,86,132
2,罗艳,历史,103,83,123,83
2,刘宇,化学,113,98,106,81
2,秦瑞,物理,118,111,113,101
2,龙鑫,物理,122,116,130,101
2,邓红,生物,108,90,108,83
3,聂洁,生物,99,121,97,81
3,张利,物理,110,116,103,112
3,夏欣,生物,108,89,102,88
3,夏瑞,生物,92,104,106,100
3,纪旭,物理,116,116,113,109
3,黎桂芳,化学,107,99,102,78
3,黄萍,地理,119,103,86,103
3,颜峰,生物,105,117,92,66
3,赵璐,化学,101,100,110,81
3,李秀华,物理,64,60,115,106
3,殷志强,物理,113,103,108,106
3,张柳,地理,98,75,121,111
3,吴柳,生物,102,115,107,76
3,孙想,历史,114,107,109,88
3,孟莹,政治,130,102,102,104
3,张雪梅,地理,106,102,107,104
3,李杨,生物,126,119,100,80
3,樊欣,化学,128,126,96,80
3,韩桂英,化学,107,113,99,90
3,葛丽华,政治,108,100,127,134
3,李佳,化学,101,72,105,87
3,杜想,化学,120,82,109,94
3,陈淑兰,化学,110,117,117,81
3,梁冬梅,生物,96,108,110,82
3,焦玉珍,化学,92,101,91,83
3,戴伟,政治,94,75,110,103
3,王玉,地理,140,98,105,117
3,任玉梅,地理,124,93,86,113
3,戴杨,物理,108,112,81,87
3,慕阳,物理,118,88,101,116
3,韩芳,历史,107,102,98,89
3,章玉梅,生物,109,103,95,92
3,张丽华,政治,112,89,98,98
3,钟玉梅,物理,99,90,106,126
3,张建军,化学,98,117,121,85
3,郝丽娟,地理,88,97,113,117
3,田桂芳,历史,95,94,93,81
3,张飞,地理,94,81,98,106
3,钟志强,生物,111,109,100,92
3,郑阳,物理,89,93,98,102
3,胡杰,生物,101,112,110,91
3,高玉英,物理,116,102,121,105
3,吕晶,历史,82,103,109,105
3,梁桂芝,政治,126,87,110,109
3,田璐,历史,126,88,105,92
3,耿瑞,物理,120,94,85,99
3,张淑英,化学,111,107,103,76
3,蒋秀芳,历史,130,112,98,113
3,张荣,物理,105,116,132,110
3,吴红梅,政治,145,82,116,112
3,杨玉华,生物,105,113,101,100
3,罗雪梅,化学,99,91,105,74
3,朱雪,历史,118,82,102,74
3,萧杰,历史,113,79,126,102
3,姜桂花,化学,96,85,109,83
3,夏丽丽,物理,108,87,114,108
3,马萍,物理,107,81,84,117
3,张建华,生物,92,103,107,103
3,陆俊,生物,127,96,108,79
3,孟华,地理,107,109,117,120
3,曲玲,化学,110,116,115,81
3,张兰英,物理,115,74,94,103
3,孙瑜,生物,96,92,113,75
3,郝萍,政治,122,95,111,118
3,吴欢,政治,119,85,97,101
3,魏博,生物,105,100,126,88
