班级,姓名,选科,语文,数学,英语,科目
1,吴刚,地理,121,99,93,114
1,卢楠,物理,120,100,91,95
1,唐秀兰,历史,108,102,93,121
1,张刚,化学,119,120,109,104
1,姜洋,历史,72,112,89,128
1,李彬,政治,79,110,86,86
1,龙晨,地理,92,110,96,110
1,张秀云,物理,94,81,86,100
1,刘婷婷,地理,93,98,116,114
1,袁云,历史,129,119,91,129
1,王丽丽,政治,120,103,90,100
1,赵桂芝,历史,98,121,108,120
1,陈柳,化学,125,88,110,114
1,邓云,生物,129,92,100,87
1,周峰,政治,106,90,95,113
1,葛丽,物理,111,124,110,107
1,陈秀荣,生物,93,98,100,95
1,吴欣,历史,93,81,101,129
1,徐丹丹,生物,116,97,104,121
1,赖玉兰,化学,75,100,101,122
1,陈云,化学,107,100,77,112
1,王莹,物理,97,83,101,103
1,任兰英,地理,101,115,95,129
1,李龙,历史,77,119,90,102
1,崔秀芳,地理,80,111,115,120
1,王秀英,化学,126,105,78,101
1,秦凯,化学,102,90,99,125
1,刘玉,生物,56,130,75,66
1,任丹,化学,105,75,99,111
1,孙玲,生物,96,92,103,113
1,文云,生物,82,129,103,82
1,吴娜,生物,86,112,97,104
1,王丹,物理,83,106,105,109
1,张帆,化学,104,118,111,147
1,吴宇,历史,98,107,94,102
1,王柳,生物,66,93,98,108
1,尹建平,化学,97,77,97,109
1,杜明,政治,103,97,109,103
1,何凤英,生物,119,89,94,66
1,秦利,地理,88,91,86,120
1,王婷,化学,108,99,89,148
1,郭莹,化学,87,104,93,124
1,周磊,化学,109,106,103,132
1,唐飞,地理,108,107,91,111
1,沈鹏,地理,63,102,101,122
1,陈建国,物理,102,92,97,82
1,任峰,生物,114,98,88,101
1,张玉英,化学,90,87,101,138
1,秦旭,地理,99,102,105,116
1,范建国,物理,92,101,110,89
1,武琳,物理,103,94,109,100
1,曾娜,地理,105,117,83,119
1,李莹,物理,86,96,89,84
1,赵想,地理,82,98,104,123
1,张彬,政治,75,91,83,103
1,郭秀荣,生物,134,101,72,118
1,程璐,政治,72,104,91,94
1,赵瑜,化学,94,135,114,110
1,翁秀华,历史,87,97,85,91
1,孙秀云,生物,95,93,94,76
1,黄荣,化学,99,102,110,107
1,余峰,历史,88,84,77,130
1,康小红,历史,111,89,91,125
1,刘桂荣,政治,119,85,124,84
1,鹿建军,政治,93,92,94,106
1,江艳,生物,108,118,90,93
1,刘丽,地理,103,97,115,115
1,刘莉,生物,88,118,106,116
1,邱浩,历史,116,75,86,115
1,齐鹏,地理,111,109,93,118
1,许欢,化学,87,75,118,111
1,王雷,地理,108,101,78,113
1,朱倩,化学,112,83,91,119
1,赵桂花,化学,94,120,102,135
1,刘波,化学,108,91,80,97
1,李建国,物理,89,94,80,90
1,王娟,物理,95,121,105,91
1,范明,政治,103,96,93,101
1,戴磊,历史,116,96,100,123
1,欧阳艳,物理,108,122,103,97
1,张欢,物理,103,113,79,114
1,李欢,化学,99,107,117,125
1,周颖,生物,77,77,87,101
2,戴宇,政治,122,111,94,89
2,张丽娟,生物,116,105,106,105
2,符伟,化学,82,113,96,138
2,李飞,地理,114,98,114,117
2,蒋杰,政治,108,117,93,93
2,覃玉兰,历史,150,101,102,92
2,徐佳,化学,100,88,99,135
2,庄辉,地理,114,94,92,115
2,杨柳,化学,138,99,70,94
2,李晶,物理,91,86,95,89
2,梁志强,生物,103,97,84,90
2,向华,化学,98,110,92,122
2,葛飞,化学,98,116,84,129
2,张波,生物,107,100,98,74
2,尹金凤,地理,92,113,91,122
2,邓成,政治,94,93,76,86
2,韩婷婷,化学,75,103,109,106
2,喻刚,地理,84,98,93,115
2,李建平,化学,80,99,86,116
2,王波,历史,118,109,124,101
2,张建平,历史,117,95,96,105
2,林淑珍,化学,101,100,86,110
2,沈雷,化学,109,107,99,99
2,王淑珍,地理,85,88,88,131
2,邝建军,化学,100,95,96,132
2,张梅,化学,76,90,116,124
2,屈桂英,物理,100,103,90,100
2,张勇,物理,79,113,80,102
2,马建,化学,85,103,96,127
2,杨建国,物理,92,80,113,82
2,王静,地理,121,121,96,113
2,魏桂香,化学,93,87,106,150
2,郑雷,历史,106,96,104,100
2,蔡秀芳,历史,68,104,88,128
2,邓琳,地理,92,86,93,110
2,王淑英,化学,101,120,91,103
2,周凤兰,生物,101,102,92,89
2,戴玉梅,历史,108,111,96,106
2,陈颖,化学,90,113,97,128
2,李玉兰,生物,83,95,99,98
2,王桂珍,物理,107,119,84,105
2,吴秀兰,化学,106,111,103,112
2,冯小红,历史,129,89,93,80
2,王金凤,地理,101,94,109,110
2,项超,化学,74,104,103,129
2,李楠,历史,129,80,87,92
2,燕丽娟,历史,124,97,95,101
2,苏丽丽,化学,77,110,87,99
2,王欣,生物,76,82,104,88
2,张杰,化学,106,87,89,123
2,郎佳,地理,134,93,99,124
2,王亮,历史,110,105,102,111
2,高建,生物,80,111,100,91
2,方丽,化学,115,110,95,99
2,黄静,生物,135,116,106,104
2,罗秀荣,物理,71,100,101,101
2,李秀珍,化学,100,116,100,101
2,徐颖,化学,89,87,101,106
2,方建军,地理,72,110,87,120
2,杜文,地理,100,112,93,111
2,谷静,生物,98,93,97,95
2,叶晶,政治,75,102,98,97
2,何瑞,政治,104,107,94,104
2,段柳,政治,121,91,81,107
2,黄雪,物理,119,100,105,99
2,刘云,地理,110,117,91,112
2,马桂兰,化学,108,98,70,121
2,陈娟,地理,112,105,101,113
2,文桂珍,政治,90,89,104,106
2,罗艳,历史,90,108,88,126
2,刘宇,化学,113,107,105,109
2,秦瑞,物理,78,104,90,104
2,龙鑫,物理,97,103,97,108
2,邓红,生物,114,113,87,103
3,聂洁,生物,93,101,83,121
3,张利,物理,100,96,97,99
3,夏欣,生物,109,92,96,95
3,夏瑞,生物,104,125,93,77
3,纪旭,物理,76,110,83,102
3,黎桂芳,化学,74,98,75,121
3,黄萍,地理,120,97,82,115
3,颜峰,生物,101,105,79,103
3,赵璐,化学,112,107,103,112
3,李秀华,物理,92,101,94,103
3,殷志强,物理,110,101,79,90
3,张柳,地理,106,119,80,123
3,吴柳,生物,116,75,91,89
3,孙想,历史,108,96,100,108
3,孟莹,政治,108,86,93,95
3,张雪梅,地理,99,98,119,119
3,李杨,生物,107,100,108,86
3,樊欣,化学,92,97,95,118
3,韩桂英,化学,97,93,95,126
3,葛丽华,政治,76,100,79,113
3,李佳,化学,96,86,73,112
3,杜想,化学,118,84,92,123
3,陈淑兰,化学,140,112,100,115
3,梁冬梅,生物,88,111,92,94
3,焦玉珍,化学,101,101,92,95
3,戴伟,政治,98,93,104,97
3,王玉,地理,85,97,104,115
3,任玉梅,地理,96,99,103,115
3,戴杨,物理,118,119,117,108
3,慕阳,物理,103,106,105,100
3,韩芳,历史,105,121,100,72
3,章玉梅,生物,90,111,94,97
3,张丽华,政治,83,107,84,99
3,钟玉梅,物理,127,100,126,107
3,张建军,化学,104,133,79,137
3,郝丽娟,地理,93,101,90,119
3,田桂芳,历史,86,104,94,108
3,张飞,地理,101,97,112,117
3,钟志强,生物,67,102,85,90
3,郑阳,物理,95,115,96,94
3,胡杰,生物,124,99,96,105
3,高玉英,物理,100,100,83,96
3,吕晶,历史,112,116,89,126
3,梁桂芝,政治,115,92,106,99
3,田璐,历史,104,97,108,136
3,耿瑞,物理,122,132,97,86
3,张淑英,化学,107,114,118,106
3,蒋秀芳,历史,96,74,96,113
3,张荣,物理,95,97,112,103
3,吴红梅,政治,87,117,87,114
3,杨玉华,生物,99,88,77,106
3,罗雪梅,化学,121,101,87,112
3,朱雪,历史,107,103,90,118
3,萧杰,历史,90,101,91,109
3,姜桂花,化学,95,109,91,114
3,夏丽丽,物理,94,121,85,109
3,马萍,物理,85,130,79,84
3,张建华,生物,98,115,80,112
3,陆俊,生物,79,96,98,88
3,孟华,地理,86,76,101,115
3,曲玲,化学,111,103,80,115
3,张兰英,物理,91,119,87,92
3,孙瑜,生物,118,118,105,86
3,郝萍,政治,111,98,83,99
3,吴欢,政治,110,110,99,104
3,魏博,生物,116,81,112,100
3,蔡玲,化学,115,98,98,133
3,高秀兰,生物,75,112,86,91
3,翁红梅,化学,105,120,115,113
3,李超,物理,105,84,91,110
3,李梅,政治,96,89,109,77
3,黄凤兰,政治,70,104,90,95
3,徐桂珍,政治,99,84,105,114
3,张洋,化学,93,97,100,118
3,王凤兰,生物,105,95,107,106
3,陈秀梅,化学,87,107,63,131
3,魏想,地理,72,102,110,106
3,李兵,历史,97,99,111,112
3,喻宁,化学,106,121,81,108
3,张倩,历史,111,125,101,115
3,杨桂荣,化学,96,91,81,101
3,宋秀梅,地理,103,100,101,118
3,白坤,生物,59,104,103,88
3,屈小红,生物,115,108,82,74
3,吕成,政治,132,108,107,108
3,潘颖,政治,96,116,91,100
4,沈亮,生物,96,98,86,94
4,黄杨,化学,88,113,91,120
4,刘磊,化学,96,80,97,121
4,马宇,历史,113,101,116,110
4,武桂荣,物理,84,118,94,91
4,田帆,物理,107,82,110,95
4,宋帅,地理,66,92,84,120
4,王帆,历史,101,113,104,107
4,李凤兰,化学,110,107,90,115
4,龙秀荣,化学,103,95,105,119
4,徐涛,化学,94,96,82,118
4,吴建,地理,92,116,109,123
4,王淑兰,地理,97,139,84,124
4,孙丹,物理,120,102,81,92
4,胡莉,化学,116,116,108,111
4,赵兰英,生物,77,95,104,86
4,赵彬,物理,122,119,98,78
4,董彬,化学,112,103,89,139
4,王浩,生物,107,81,102,79
4,洪峰,生物,71,86,107,93
4,张强,化学,101,100,108,150
4,黄宁,化学,110,112,98,114
4,李琴,化学,123,132,107,126
4,廖涛,化学,123,103,91,140
4,张磊,生物,101,80,83,50
4,杨兰英,历史,89,95,105,96
4,陈平,化学,108,94,85,127
4,刘晶,物理,108,111,109,108
4,赵云,生物,77,108,106,83
4,陆晨,化学,107,116,108,138
4,郭秀珍,物理,107,91,85,93
4,蔡柳,政治,132,85,82,94
4,夏晨,地理,102,111,87,114
4,龙雪梅,化学,61,83,117,121
4,宁秀云,物理,97,87,105,95
4,黄勇,物理,114,106,98,110
4,卢飞,地理,97,86,95,130
4,魏凯,地理,72,92,87,128
4,冯秀兰,化学,101,96,90,95
4,王兰英,生物,118,94,96,98
4,张旭,化学,88,90,93,127
4,刘凯,化学,115,107,103,112
4,吴龙,地理,102,98,89,126
4,房娟,地理,138,102,106,124
4,杨霞,历史,107,107,84,108
4,程佳,物理,105,98,91,109
4,孙桂珍,物理,105,107,80,93
4,郑建,化学,80,125,101,113
4,左云,地理,89,82,103,115
4,李秀云,历史,100,121,98,94
4,林桂兰,地理,111,101,90,121
4,季秀云,物理,70,102,100,114
4,黄建,生物,81,102,89,94
4,卢林,化学,104,105,103,121
4,崔博,历史,108,88,101,115
4,赖萍,化学,118,105,113,119
4,萧丹丹,化学,100,101,91,106
4,杨建华,生物,97,103,94,95
4,曾玉兰,化学,118,118,88,117
4,许秀兰,生物,93,100,85,103
4,李秀芳,化学,106,114,94,136
4,吴淑兰,化学,98,106,89,117
4,何伟,化学,74,85,100,119
4,刘冬梅,化学,69,95,103,125
4,孙平,历史,99,83,104,98
4,王利,化学,63,104,77,111
4,何阳,地理,97,109,80,116
4,何淑兰,地理,111,99,100,122
4,施建国,历史,100,106,83,113
4,李娟,化学,115,113,91,137
4,张建,历史,50,95,78,116
4,傅兰英,地理,102,97,83,127
4,纪梅,生物,104,90,95,89
4,杨辉,政治,95,98,115,103
4,崔淑珍,政治,98,108,96,110
4,李丽丽,地理,104,71,105,114
4,李岩,化学,94,101,89,99
4,王华,历史,92,98,103,113
4,陶彬,物理,118,94,101,110
4,吴利,生物,104,111,104,99
4,陈亮,生物,99,106,91,104
4,刘燕,历史,94,89,88,146
4,白桂珍,化学,105,93,95,132
4,杨建,生物,95,82,101,108
4,康建国,政治,111,101,98,91
4,张海燕,化学,105,90,82,130
4,彭秀芳,物理,93,114,100,105
4,朱丽娟,生物,111,104,93,88
4,王霞,历史,96,101,106,92
4,梁丽华,政治,80,102,70,93
5,李旭,生物,97,101,101,97
5,田飞,地理,101,103,75,114
5,叶颖,生物,103,88,91,89
5,廖红梅,物理,121,97,96,106
5,彭桂兰,化学,115,97,101,147
5,马凯,生物,108,88,117,75
5,傅想,生物,106,99,87,84
5,韦娟,历史,143,92,98,106
5,翟杨,生物,122,91,107,100
