班级,姓名,选科,语文,数学,英语,科目
1,吴刚,地理,119,75,94,89
1,卢楠,物理,86,79,103,111
1,唐秀兰,历史,134,87,110,114
1,张刚,化学,98,83,93,93
1,姜洋,历史,92,73,96,80
1,李彬,政治,109,86,116,106
1,龙晨,地理,101,88,114,75
1,张秀云,物理,95,82,98,129
1,刘婷婷,地理,110,72,120,70
1,袁云,历史,93,88,90,73
1,王丽丽,政治,73,63,110,110
1,赵桂芝,历史,112,92,115,98
1,陈柳,化学,81,89,111,124
1,邓云,生物,113,76,101,93
1,周峰,政治,91,63,99,111
1,葛丽,物理,93,64,102,132
1,陈秀荣,生物,121,98,104,78
1,吴欣,历史,85,72,98,94
1,徐丹丹,生物,111,65,104,102
1,赖玉兰,化学,99,70,100,96
1,陈云,化学,107,77,96,79
1,王莹,物理,110,86,91,113
1,任兰英,地理,109,85,83,67
1,李龙,历史,107,84,105,81
1,崔秀芳,地理,90,85,100,73
1,王秀英,化学,122,63,79,79
1,秦凯,化学,86,77,121,83
1,刘玉,生物,66,104,98,67
1,任丹,化学,99,83,80,93
1,孙玲,生物,67,75,124,75
1,文云,生物,93,76,96,88
1,吴娜,生物,105,86,97,85
1,王丹,物理,112,76,118,106
1,张帆,化学,85,65,113,131
1,吴宇,历史,81,87,109,104
1,王柳,生物,109,78,105,90
1,尹建平,化学,115,62,121,74
1,杜明,政治,94,71,97,83
1,何凤英,生物,103,75,126,113
1,秦利,地理,94,76,89,97
1,王婷,化学,86,75,95,99
1,郭莹,化学,95,62,97,80
1,周磊,化学,102,96,88,98
1,唐飞,地理,97,65,99,81
1,沈鹏,地理,117,80,103,78
1,陈建国,物理,87,71,89,103
1,任峰,生物,70,93,105,105
1,张玉英,化学,92,91,99,113
1,秦旭,地理,101,79,128,63
1,范建国,物理,88,83,98,121
1,武琳,物理,107,69,99,123
1,曾娜,地理,81,88,104,76
1,李莹,物理,79,72,109,121
1,赵想,地理,92,87,114,77
1,张彬,政治,78,66,127,92
1,郭秀荣,生物,80,96,119,95
1,程璐,政治,115,54,92,80
1,赵瑜,化学,109,85,99,72
1,翁秀华,历史,98,55,100,77
1,孙秀云,生物,87,65,104,98
1,黄荣,化学,128,67,94,98
1,余峰,历史,103,106,98,86
1,康小红,历史,122,62,116,97
1,刘桂荣,政治,86,69,90,100
1,鹿建军,政治,60,68,100,88
1,江艳,生物,107,92,82,95
1,刘丽,地理,119,84,113,86
1,刘莉,生物,85,75,109,104
1,邱浩,历史,106,74,100,83
1,齐鹏,地理,115,76,104,79
1,许欢,化学,97,89,101,77
1,王雷,地理,103,87,76,90
1,朱倩,化学,112,85,104,71
1,赵桂花,化学,103,99,134,85
1,刘波,化学,111,82,126,82
1,李建国,物理,120,80,91,101
1,王娟,物理,96,70,90,125
1,范明,政治,105,81,88,89
1,戴磊,历史,122,78,122,70
1,欧阳艳,物理,106,76,88,104
1,张欢,物理,101,89,104,117
1,李欢,化学,110,85,99,110
1,周颖,生物,108,82,104,72
2,戴宇,政治,105,86,92,111
2,张丽娟,生物,125,78,99,97
2,符伟,化学,80,66,109,76
2,李飞,地理,102,68,90,76
2,蒋杰,政治,91,74,112,113
2,覃玉兰,历史,88,94,91,85
2,徐佳,化学,130,84,112,89
2,庄辉,地理,69,72,105,101
2,杨柳,化学,97,70,124,82
2,李晶,物理,86,80,110,116
2,梁志强,生物,126,79,92,120
2,向华,化学,102,82,94,95
2,葛飞,化学,146,84,97,75
2,张波,生物,123,87,95,82
2,尹金凤,地理,105,72,91,98
2,邓成,政治,114,104,94,104
2,韩婷婷,化学,119,73,113,93
2,喻刚,地理,69,92,97,64
2,李建平,化学,94,86,103,93
2,王波,历史,104,82,86,79
2,张建平,历史,122,66,97,59
2,林淑珍,化学,97,78,109,86
2,沈雷,化学,99,79,95,54
2,王淑珍,地理,93,83,96,87
2,邝建军,化学,106,72,97,60
2,张梅,化学,87,90,93,97
2,屈桂英,物理,84,73,96,134
2,张勇,物理,79,67,78,104
2,马建,化学,109,72,99,101
2,杨建国,物理,109,65,114,150
2,王静,地理,95,74,94,70
2,魏桂香,化学,95,77,88,73
2,郑雷,历史,82,63,87,102
2,蔡秀芳,历史,90,69,101,93
2,邓琳,地理,82,65,110,97
2,王淑英,化学,122,66,102,82
2,周凤兰,生物,112,82,99,88
2,戴玉梅,历史,126,92,120,101
2,陈颖,化学,79,75,96,83
2,李玉兰,生物,51,82,106,93
2,王桂珍,物理,121,87,87,110
2,吴秀兰,化学,119,74,86,104
2,冯小红,历史,120,78,82,97
2,王金凤,地理,99,83,102,48
2,项超,化学,83,66,105,88
2,李楠,历史,116,79,104,91
2,燕丽娟,历史,81,67,110,79
2,苏丽丽,化学,91,64,93,84
2,王欣,生物,89,66,76,81
2,张杰,化学,125,71,109,119
2,郎佳,地理,110,86,107,64
2,王亮,历史,87,71,97,112
2,高建,生物,80,81,89,87
2,方丽,化学,97,90,102,78
2,黄静,生物,81,86,117,109
2,罗秀荣,物理,104,71,105,96
2,李秀珍,化学,129,73,106,81
2,徐颖,化学,101,92,98,51
2,方建军,地理,99,112,98,66
2,杜文,地理,99,79,107,90
2,谷静,生物,112,82,95,90
2,叶晶,政治,73,85,145,92
2,何瑞,政治,87,77,102,92
2,段柳,政治,127,60,92,97
2,黄雪,物理,119,88,112,110
2,刘云,地理,56,90,99,95
2,马桂兰,化学,108,84,114,67
