班级,姓名,选科,语文,数学,英语,科目
1,吴刚,地理,118,97,121,117
1,卢楠,物理,112,87,112,116
1,唐秀兰,历史,106,93,113,112
1,张刚,化学,94,100,126,91
1,姜洋,历史,93,79,97,123
1,李彬,政治,116,99,112,102
1,龙晨,地理,115,77,135,128
1,张秀云,物理,99,87,127,125
1,刘婷婷,地理,102,94,110,106
1,袁云,历史,114,94,116,124
1,王丽丽,政治,107,84,121,100
1,赵桂芝,历史,102,90,128,108
1,陈柳,化学,119,73,113,93
1,邓云,生物,109,101,110,113
1,周峰,政治,116,86,96,105
1,葛丽,物理,115,76,117,98
1,陈秀荣,生物,79,85,100,106
1,吴欣,历史,100,87,110,98
1,徐丹丹,生物,113,98,114,118
1,赖玉兰,化学,93,87,113,95
1,陈云,化学,109,92,115,95
1,王莹,物理,123,85,114,135
1,任兰英,地理,128,76,118,113
1,李龙,历史,104,63,134,117
1,崔秀芳,地理,106,89,119,109
1,王秀英,化学,127,103,103,76
1,秦凯,化学,114,85,117,93
1,刘玉,生物,99,94,120,113
1,任丹,化学,97,76,102,107
1,孙玲,生物,110,88,130,106
1,文云,生物,114,95,115,109
1,吴娜,生物,100,72,134,112
1,王丹,物理,113,89,102,100
1,张帆,化学,86,82,101,84
1,吴宇,历史,113,73,118,115
1,王柳,生物,92,67,121,104
1,尹建平,化学,101,73,120,80
1,杜明,政治,113,97,115,90
1,何凤英,生物,123,74,116,116
1,秦利,地理,106,97,120,105
1,王婷,化学,101,65,112,91
1,郭莹,化学,109,102,118,92
1,周磊,化学,107,93,135,88
1,唐飞,地理,102,95,128,140
1,沈鹏,地理,126,83,117,117
1,陈建国,物理,120,83,107,108
1,任峰,生物,107,86,125,115
1,张玉英,化学,125,91,104,95
1,秦旭,地理,106,78,130,111
1,范建国,物理,95,84,120,114
1,武琳,物理,103,89,135,106
1,曾娜,地理,102,75,114,117
1,李莹,物理,94,92,124,99
1,赵想,地理,97,96,113,118
1,张彬,政治,103,82,105,94
1,郭秀荣,生物,111,98,123,109
1,程璐,政治,120,85,120,102
1,赵瑜,化学,108,102,93,90
1,翁秀华,历史,106,106,113,126
1,孙秀云,生物,104,99,122,109
1,黄荣,化学,125,96,115,86
1,余峰,历史,103,89,120,112
1,康小红,历史,118,76,127,145
1,刘桂荣,政治,102,92,113,103
1,鹿建军,政治,99,89,110,115
1,江艳,生物,102,84,115,103
1,刘丽,地理,103,102,114,125
1,刘莉,生物,97,87,124,120
1,邱浩,历史,108,79,118,125
1,齐鹏,地理,120,77,119,97
1,许欢,化学,93,84,109,102
1,王雷,地理,107,95,104,99
1,朱倩,化学,138,100,123,97
1,赵桂花,化学,85,83,116,95
1,刘波,化学,116,82,129,94
1,李建国,物理,103,110,125,119
1,王娟,物理,107,83,126,86
1,范明,政治,107,87,129,98
1,戴磊,历史,110,76,113,118
1,欧阳艳,物理,121,103,108,125
1,张欢,物理,96,101,121,134
1,李欢,化学,96,103,115,94
1,周颖,生物,120,85,128,122
2,戴宇,政治,112,74,131,101
2,张丽娟,生物,95,92,108,108
2,符伟,化学,99,84,123,92
2,李飞,地理,107,87,118,108
2,蒋杰,政治,108,85,115,96
2,覃玉兰,历史,108,91,116,141
