班级,姓名,选科,语文,数学,英语,科目
1,吴刚,地理,102,84,106,104
1,卢楠,物理,78,88,87,79
1,唐秀兰,历史,106,86,111,112
1,张刚,化学,97,77,80,113
1,姜洋,历史,101,89,93,105
1,李彬,政治,80,84,116,104
1,龙晨,地理,83,84,110,73
1,张秀云,物理,73,90,104,83
1,刘婷婷,地理,98,78,109,87
1,袁云,历史,103,105,72,116
1,王丽丽,政治,64,85,95,96
1,赵桂芝,历史,85,90,62,105
1,陈柳,化学,99,74,71,117
1,邓云,生物,97,99,75,103
1,周峰,政治,88,100,92,87
1,葛丽,物理,102,102,72,113
1,陈秀荣,生物,80,103,94,119
1,吴欣,历史,82,80,107,116
1,徐丹丹,生物,93,99,86,107
1,赖玉兰,化学,82,84,99,146
1,陈云,化学,97,86,67,124
1,王莹,物理,99,93,89,81
1,任兰英,地理,102,75,97,87
1,李龙,历史,105,99,102,98
1,崔秀芳,地理,95,84,80,95
1,王秀英,化学,97,85,66,115
1,秦凯,化学,75,80,106,102
1,刘玉,生物,88,96,95,120
1,任丹,化学,107,100,79,110
1,孙玲,生物,87,75,81,110
1,文云,生物,107,90,55,114
1,吴娜,生物,110,99,93,107
1,王丹,物理,86,103,59,89
1,张帆,化学,93,97,88,125
1,吴宇,历史,89,84,81,107
1,王柳,生物,91,93,81,108
1,尹建平,化学,82,78,87,110
1,杜明,政治,67,101,50,92
1,何凤英,生物,91,92,97,116
1,秦利,地理,95,120,76,75
1,王婷,化学,88,105,85,109
1,郭莹,化学,95,89,65,103
1,周磊,化学,104,65,86,124
1,唐飞,地理,83,89,70,83
1,沈鹏,地理,101,97,70,76
1,陈建国,物理,92,56,83,82
1,任峰,生物,84,92,100,116
1,张玉英,化学,93,107,60,92
1,秦旭,地理,98,90,92,95
1,范建国,物理,88,92,105,78
1,武琳,物理,118,105,112,99
1,曾娜,地理,93,88,87,88
1,李莹,物理,83,79,91,97
1,赵想,地理,99,69,88,105
1,张彬,政治,78,99,107,86
1,郭秀荣,生物,98,88,68,111
1,程璐,政治,91,96,98,103
1,赵瑜,化学,94,87,102,93
1,翁秀华,历史,109,106,89,104
1,孙秀云,生物,94,93,115,125
1,黄荣,化学,102,88,123,120
1,余峰,历史,96,106,82,129
1,康小红,历史,104,85,100,102
1,刘桂荣,政治,79,93,101,86
1,鹿建军,政治,77,86,75,81
1,江艳,生物,83,84,64,107
1,刘丽,地理,95,90,104,121
1,刘莉,生物,93,90,81,107
1,邱浩,历史,97,82,89,107
1,齐鹏,地理,82,82,93,82
1,许欢,化学,74,80,75,121
1,王雷,地理,87,87,97,84
1,朱倩,化学,106,98,91,105
1,赵桂花,化学,100,87,94,95
1,刘波,化学,97,80,88,107
1,李建国,物理,72,89,48,86
1,王娟,物理,105,103,102,80
1,范明,政治,83,72,104,99
1,戴磊,历史,87,94,89,110
1,欧阳艳,物理,95,89,119,84
1,张欢,物理,92,86,110,95
1,李欢,化学,87,83,88,114
1,周颖,生物,108,75,82,103
2,戴宇,政治,106,106,87,102
2,张丽娟,生物,88,87,63,94
2,符伟,化学,95,93,99,148
2,李飞,地理,93,95,66,75
2,蒋杰,政治,105,79,96,71
2,覃玉兰,历史,95,102,102,123
2,徐佳,化学,97,93,78,98
2,庄辉,地理,82,107,103,118
2,杨柳,化学,94,93,86,101
2,李晶,物理,90,86,84,79
2,梁志强,生物,83,91,75,103
2,向华,化学,95,90,128,114
2,葛飞,化学,93,80,88,112
